TIMESTAMP,ECG
2023-12-11 02:17:53.394984251+00:00,-8
2023-12-11 02:17:53.402858267+00:00,-9
2023-12-11 02:17:53.410732283+00:00,-11
2023-12-11 02:17:53.418606299+00:00,-6
2023-12-11 02:17:53.426480314+00:00,-11
2023-12-11 02:17:53.434354330+00:00,-15
2023-12-11 02:17:53.442228346+00:00,-28
2023-12-11 02:17:53.450102362+00:00,-43
2023-12-11 02:17:53.457976377+00:00,-53
2023-12-11 02:17:53.465850393+00:00,-54
2023-12-11 02:17:53.473724409+00:00,-61
2023-12-11 02:17:53.481598425+00:00,-73
2023-12-11 02:17:53.489472440+00:00,-102
2023-12-11 02:17:53.497346456+00:00,49
2023-12-11 02:17:53.505220472+00:00,534
2023-12-11 02:17:53.513094488+00:00,752
2023-12-11 02:17:53.520968503+00:00,156
2023-12-11 02:17:53.528842519+00:00,-131
2023-12-11 02:17:53.536716535+00:00,-166
2023-12-11 02:17:53.544590551+00:00,-99
2023-12-11 02:17:53.552464566+00:00,-70
2023-12-11 02:17:53.560338582+00:00,-64
2023-12-11 02:17:53.568212598+00:00,-56
2023-12-11 02:17:53.576086614+00:00,-59
2023-12-11 02:17:53.583960629+00:00,-56
2023-12-11 02:17:53.591834645+00:00,-57
2023-12-11 02:17:53.599708661+00:00,-55
2023-12-11 02:17:53.607582677+00:00,-49
2023-12-11 02:17:53.615456692+00:00,-51
2023-12-11 02:17:53.623330708+00:00,-51
2023-12-11 02:17:53.631204724+00:00,-50
2023-12-11 02:17:53.639078740+00:00,-45
2023-12-11 02:17:53.646952755+00:00,-42
2023-12-11 02:17:53.654826771+00:00,-42
2023-12-11 02:17:53.662700787+00:00,-35
2023-12-11 02:17:53.670574803+00:00,-33
2023-12-11 02:17:53.678448818+00:00,-36
2023-12-11 02:17:53.686322834+00:00,-23
2023-12-11 02:17:53.694196850+00:00,-22
2023-12-11 02:17:53.702070866+00:00,-12
2023-12-11 02:17:53.709944881+00:00,-9
2023-12-11 02:17:53.717818897+00:00,-7
2023-12-11 02:17:53.725692913+00:00,4
2023-12-11 02:17:53.733566929+00:00,9
2023-12-11 02:17:53.741440944+00:00,15
2023-12-11 02:17:53.749314960+00:00,30
2023-12-11 02:17:53.757188976+00:00,40
2023-12-11 02:17:53.765062992+00:00,56
2023-12-11 02:17:53.772937007+00:00,66
2023-12-11 02:17:53.780811023+00:00,81
2023-12-11 02:17:53.788685039+00:00,93
2023-12-11 02:17:53.796559055+00:00,96
2023-12-11 02:17:53.804433070+00:00,100
2023-12-11 02:17:53.812307086+00:00,92
2023-12-11 02:17:53.820181102+00:00,85
2023-12-11 02:17:53.828055118+00:00,86
2023-12-11 02:17:53.835929133+00:00,75
2023-12-11 02:17:53.843803149+00:00,65
2023-12-11 02:17:53.851677165+00:00,51
2023-12-11 02:17:53.859551181+00:00,38
2023-12-11 02:17:53.867425196+00:00,30
2023-12-11 02:17:53.875299212+00:00,12
2023-12-11 02:17:53.883173228+00:00,3
2023-12-11 02:17:53.891047244+00:00,-1
